Target,Source,Weight
50,35,30
51,35,30
96,35,30
9,58,30
9,64,30
31,0,30
31,41,30
27,8,30
4,64,30
1,35,30
56,53,30
37,43,30
95,25,30
97,50,30
47,24,30
5,55,30
66,7,30
84,25,30
52,65,30
33,35,30
93,8,30
0,23,30
0,42,30
0,88,30
0,98,30
0,99,30
1,28,30
1,59,30
1,62,30
1,70,30
1,73,30
1,92,30
2,21,30
2,57,30
2,81,30
2,89,30
3,30,30
3,91,30
4,15,30
4,45,30
4,94,30
4,83,30
5,17,30
5,36,30
5,48,30
6,16,30
6,18,30
6,78,30
6,82,30
7,44,30
8,22,30
8,87,30
9,20,30
10,30,30
11,76,30
12,18,30
12,32,30
13,43,30
13,68,30
14,22,30
14,29,30
14,46,30
15,86,30
15,75,30
15,85,30
16,39,30
16,90,30
17,67,30
17,74,30
18,69,30
19,23,30
19,61,30
19,60,30
23,77,30
24,80,30
26,17,30
26,72,30
33,38,30
34,2,30
40,61,30
40,71,30
41,49,30
44,63,30
47,79,30
51,54,30
