Target,Source,Weight
35,46,20
46,44,20
44,27,20
27,40,20
40,1,20
1,14,20
14,7,20
7,5,20
5,16,20
16,0,20
0,15,20
15,9,20
9,3,20
3,42,20
42,56,20
56,4,20
4,21,20
21,37,20
37,6,20
6,63,20
63,29,20
29,2,20
2,19,20
19,11,20
11,23,20
23,89,20
89,69,20
69,53,20
53,51,20
51,45,20
45,78,20
78,72,20
72,12,20
12,10,20
10,38,20
38,24,20
24,8,20
8,92,20
92,49,20
49,20,20
20,70,20
70,13,20
13,59,20
59,33,20
33,30,20
30,25,20
25,62,20
62,80,20
80,39,20
39,55,20
55,34,20
34,66,20
66,87,20
87,18,20
18,36,20
36,26,20
26,54,20
54,32,20
32,77,20
77,47,20
47,17,20
17,52,20
52,57,20
57,97,20
97,67,20
67,74,20
74,64,20
64,31,20
31,58,20
58,28,20
28,99,20
99,85,20
85,76,20
76,41,20
41,71,20
71,60,20
60,50,20
50,79,20
35,82,20
82,22,20
35,96,20
96,48,20
48,84,20
46,68,20
46,90,20
90,75,20
40,88,20
88,94,20
94,86,20
14,61,20
14,81,20
7,95,20
95,91,20
5,43,20
43,98,20
5,65,20
5,73,20
10,83,20
24,93,20
