Target,Source,Weight
0,1,20
0,2,24
0,3,30
0,4,28
0,5,27
0,6,29
0,7,23
0,8,25
0,9,22
0,10,21
0,11,26
0,12,21
0,13,28
0,14,22
0,15,22
0,16,25
0,17,20
0,18,25
0,19,30
0,20,27
0,21,23
0,22,23
0,23,20
0,24,21
0,25,29
0,26,22
0,27,25
0,28,24
0,30,30
0,31,21
0,32,30
0,33,30
0,34,23
0,37,24
0,38,22
0,39,24
0,40,20
0,41,28
0,42,20
0,43,24
0,44,26
0,45,24
0,46,23
0,48,28
0,49,24
0,50,28
0,51,20
0,52,28
0,53,27
0,54,29
0,55,28
0,56,23
0,57,21
0,59,30
0,60,21
0,62,24
0,63,20
0,65,26
0,66,24
0,67,23
0,69,20
0,70,29
0,72,24
0,74,20
0,75,20
0,76,26
0,77,27
0,78,30
0,80,27
0,81,25
0,82,26
0,83,23
0,84,24
0,85,26
0,86,25
0,87,22
0,88,25
0,89,20
0,90,30
0,91,23
0,92,24
0,93,22
0,94,23
0,95,22
0,96,22
0,97,23
0,98,21
0,99,29
0,100,27
0,101,23
0,102,21
0,104,21
0,105,21
0,106,20
0,107,28
0,108,26
0,110,30
0,111,28
0,112,29
0,113,30
0,114,30
0,116,29
0,117,29
0,118,24
0,119,20
0,121,29
0,122,27
0,123,26
0,124,28
0,125,24
0,130,24
0,131,21
0,132,22
0,133,29
0,134,24
0,135,30
0,136,20
0,138,30
0,139,23
0,141,22
0,143,21
0,144,26
0,145,21
0,146,28
0,147,29
0,148,22
0,149,20
0,150,25
0,152,20
0,154,22
0,155,24
0,156,20
0,157,25
0,158,23
0,159,24
0,160,22
0,161,27
0,164,24
0,165,23
0,167,21
0,169,30
0,173,24
0,174,24
0,175,25
0,176,20
0,180,29
0,182,21
0,184,29
0,187,30
0,188,24
0,189,22
0,190,22
0,191,20
0,193,23
0,196,30
0,197,23
0,198,28
0,199,24
0,200,27
0,202,25
0,203,23
0,204,30
0,206,25
0,207,29
0,210,25
0,214,23
0,215,27
0,216,20
0,217,24
0,219,21
0,220,26
0,221,25
0,222,21
0,224,22
0,225,20
0,228,29
0,230,30
0,234,25
0,236,29
0,237,20
0,239,28
0,240,24
0,242,25
0,244,23
0,245,27
0,246,30
0,253,25
0,255,24
0,258,30
0,259,29
0,260,29
0,261,21
0,262,20
0,263,29
0,264,24
0,265,21
0,266,26
0,267,20
0,269,21
0,271,21
0,273,28
0,274,23
0,275,21
0,283,21
0,289,28
0,293,26
0,294,27
0,295,24
0,299,28
0,300,24
0,301,26
0,302,23
0,303,29
0,304,28
0,305,29
0,307,21
0,309,22
0,315,28
0,318,27
0,319,21
0,323,25
0,324,25
0,326,29
0,327,28
0,328,23
0,330,20
0,333,22
0,334,24
0,335,26
0,338,22
0,339,30
0,347,24
0,348,20
0,353,29
0,354,25
0,355,28
0,356,27
0,358,23
0,360,25
0,362,27
0,363,25
0,365,23
0,368,20
0,372,30
