Target,Source,Weight
0,1,20
0,17,20
0,23,20
0,40,20
0,42,20
0,51,20
0,63,20
0,69,20
0,74,20
0,75,20
0,89,20
0,106,20
0,119,20
0,136,20
0,149,20
0,152,20
0,156,20
0,176,20
0,191,20
0,216,20
0,225,20
0,237,20
0,262,20
0,267,20
0,330,20
0,348,20
0,368,20
0,426,20
0,431,20
0,438,20
0,488,20
0,493,20
0,496,20
0,213,20
0,249,20
0,321,20
0,375,20
0,336,20
0,357,20
0,407,20
0,257,20
0,442,20
0,398,20
1,60,20
1,64,20
1,67,20
1,80,20
1,83,20
1,84,20
1,85,20
1,103,20
1,108,20
1,112,20
1,126,20
1,138,20
1,150,20
1,186,20
1,190,20
1,206,20
1,214,20
1,239,20
1,244,20
1,279,20
1,333,20
1,344,20
1,350,20
1,362,20
1,385,20
1,406,20
1,24,20
1,28,20
1,302,20
1,303,20
1,370,20
1,373,20
1,483,20
1,7,20
1,246,20
1,254,20
1,384,20
1,298,20
1,143,20
1,470,20
1,207,20
2,26,20
2,27,20
2,128,20
2,157,20
2,167,20
2,177,20
2,198,20
2,222,20
2,246,20
2,256,20
2,265,20
2,273,20
2,283,20
2,312,20
2,324,20
2,329,20
2,343,20
2,353,20
2,359,20
2,377,20
2,430,20
2,435,20
2,456,20
2,490,20
2,499,20
2,259,20
2,268,20
2,380,20
2,393,20
2,454,20
2,181,20
2,413,20
3,71,20
3,107,20
3,116,20
3,120,20
3,122,20
3,159,20
3,160,20
3,185,20
3,199,20
3,203,20
3,241,20
3,243,20
3,271,20
3,287,20
3,361,20
3,364,20
3,409,20
3,486,20
3,36,20
3,153,20
3,169,20
3,319,20
3,463,20
3,477,20
3,482,20
3,11,20
3,371,20
3,57,20
4,17,20
4,21,20
4,44,20
4,65,20
4,76,20
4,114,20
4,155,20
4,227,20
4,245,20
4,263,20
4,288,20
4,297,20
4,436,20
4,444,20
4,476,20
4,309,20
4,339,20
4,410,20
4,420,20
4,101,20
4,418,20
4,437,20
4,464,20
4,295,20
4,427,20
4,383,20
5,49,20
5,53,20
5,104,20
5,113,20
5,124,20
5,133,20
5,163,20
5,255,20
5,270,20
5,275,20
5,325,20
5,402,20
5,440,20
5,446,20
5,468,20
5,347,20
5,197,20
5,341,20
5,31,20
5,45,20
5,224,20
5,427,20
5,376,20
6,42,20
6,43,20
6,57,20
6,73,20
6,82,20
6,96,20
6,111,20
6,162,20
6,175,20
6,217,20
6,223,20
6,228,20
6,232,20
6,253,20
6,269,20
6,274,20
6,311,20
6,351,20
6,411,20
6,388,20
6,417,20
6,8,20
6,9,20
6,331,20
6,428,20
6,18,20
6,204,20
7,34,20
7,39,20
7,78,20
7,91,20
7,115,20
7,130,20
7,132,20
7,184,20
7,202,20
7,234,20
7,240,20
7,242,20
7,258,20
7,286,20
7,304,20
7,366,20
7,382,20
7,391,20
7,423,20
7,471,20
7,284,20
7,294,20
7,497,20
7,193,20
8,92,20
8,218,20
8,221,20
8,280,20
8,282,20
8,335,20
8,395,20
8,400,20
8,432,20
8,12,20
8,62,20
8,189,20
8,290,20
8,474,20
8,30,20
8,429,20
9,32,20
9,56,20
9,87,20
9,90,20
9,97,20
9,99,20
9,121,20
9,145,20
9,165,20
9,172,20
9,226,20
9,229,20
9,355,20
9,356,20
9,210,20
9,264,20
9,291,20
9,293,20
9,462,20
9,467,20
9,72,20
9,125,20
9,381,20
9,458,20
10,25,20
10,61,20
10,81,20
10,86,20
10,98,20
10,102,20
10,131,20
10,140,20
10,142,20
10,147,20
10,187,20
10,281,20
10,289,20
10,296,20
10,315,20
10,358,20
10,365,20
10,397,20
10,416,20
10,478,20
10,13,20
10,66,20
10,161,20
10,346,20
10,469,20
11,59,20
11,139,20
11,211,20
11,305,20
11,318,20
11,320,20
11,332,20
11,449,20
11,19,20
11,285,20
11,460,20
11,378,20
12,94,20
12,146,20
12,208,20
12,379,20
12,484,20
12,200,20
12,54,20
12,236,20
12,307,20
12,20,20
12,495,20
13,123,20
13,188,20
13,215,20
13,238,20
13,247,20
13,252,20
13,292,20
13,349,20
13,322,20
13,443,20
13,491,20
13,495,20
13,481,20
14,34,20
14,47,20
14,52,20
14,70,20
14,151,20
14,170,20
14,173,20
14,399,20
14,405,20
14,178,20
14,479,20
14,404,20
15,63,20
15,201,20
15,205,20
15,313,20
15,337,20
15,363,20
15,37,20
15,137,20
15,22,20
15,494,20
15,425,20
16,95,20
16,100,20
16,105,20
16,154,20
16,179,20
16,192,20
16,233,20
16,323,20
16,390,20
16,412,20
16,445,20
16,389,20
16,475,20
16,459,20
16,299,20
16,118,20
16,408,20
16,457,20
17,110,20
17,317,20
17,342,20
17,345,20
17,447,20
17,278,20
17,434,20
17,41,20
18,88,20
18,93,20
18,196,20
18,374,20
18,422,20
18,141,20
18,266,20
19,33,20
19,79,20
19,117,20
19,129,20
19,260,20
19,386,20
19,441,20
19,276,20
19,387,20
19,212,20
19,367,20
20,50,20
20,58,20
20,180,20
20,209,20
20,230,20
20,272,20
20,369,20
20,372,20
20,396,20
20,16,20
20,135,20
20,194,20
21,134,20
21,453,20
21,301,20
21,424,20
21,489,20
22,77,20
22,433,20
22,55,20
22,461,20
23,414,20
24,158,20
24,251,20
24,352,20
24,487,20
24,360,20
25,127,20
25,235,20
25,401,20
25,450,20
25,452,20
26,68,20
26,306,20
26,338,20
26,465,20
26,171,20
27,46,20
27,148,20
27,327,20
27,334,20
27,498,20
28,231,20
28,394,20
28,195,20
28,473,20
28,472,20
29,94,20
29,340,20
30,392,20
30,466,20
30,326,20
32,168,20
33,166,20
33,183,20
33,314,20
33,415,20
34,220,20
34,448,20
35,82,20
35,144,20
35,419,20
35,455,20
36,277,20
37,308,20
37,485,20
37,248,20
38,21,20
38,250,20
39,219,20
40,316,20
