Target,Source,Weight
75,90,20
51,53,20
45,51,20
26,54,20
79,50,20
92,8,20
89,23,20
69,53,20
46,35,20
49,92,20
82,35,20
44,27,20
3,42,20
2,29,20
5,7,20
40,27,20
63,6,20
78,72,20
0,15,20
0,16,20
0,87,20
0,58,20
1,14,20
1,60,20
2,19,20
2,31,20
2,85,20
2,13,20
2,41,20
2,55,20
2,86,20
2,91,20
3,17,20
3,97,20
3,62,20
3,98,20
4,21,20
4,22,20
4,30,20
4,37,20
4,39,20
4,52,20
4,56,20
4,38,20
5,18,20
5,43,20
5,65,20
5,73,20
5,99,20
6,68,20
6,12,20
7,95,20
7,61,20
8,24,20
8,57,20
8,59,20
8,94,20
8,93,20
9,3,20
10,12,20
10,66,20
10,77,20
10,83,20
11,19,20
11,32,20
12,34,20
13,70,20
14,25,20
14,71,20
14,81,20
16,47,20
18,36,20
20,5,20
23,64,20
25,67,20
25,28,20
30,33,20
35,96,20
38,74,20
39,80,20
40,88,20
41,76,20
48,55,20
48,84,20
100,93,21
49,100,22
