Target,Source,Weight
50,79,20
79,14,20
14,1,20
1,51,20
51,53,20
53,69,20
69,6,20
6,63,20
63,21,20
21,4,20
4,22,20
22,15,20
15,0,20
0,16,20
16,5,20
5,7,20
7,17,20
17,3,20
3,42,20
42,56,20
56,29,20
29,2,20
2,19,20
19,11,20
11,23,20
23,89,20
89,40,20
40,27,20
27,44,20
44,10,20
10,12,20
12,26,20
26,54,20
54,32,20
32,77,20
77,36,20
36,18,20
18,9,20
9,60,20
60,35,20
35,46,20
46,55,20
55,34,20
34,66,20
66,87,20
87,31,20
31,30,20
30,25,20
25,62,20
62,80,20
80,39,20
39,47,20
47,92,20
92,8,20
8,24,20
24,38,20
38,33,20
33,41,20
41,71,20
71,64,20
64,61,20
61,74,20
74,67,20
67,45,20
45,78,20
78,72,20
72,84,20
84,48,20
48,70,20
70,13,20
13,59,20
50,65,20
65,95,20
95,82,20
82,57,20
57,52,20
52,98,20
98,43,20
43,20,20
20,49,20
49,28,20
28,58,20
58,85,20
85,76,20
76,90,20
90,75,20
75,68,20
68,86,20
86,94,20
94,88,20
50,81,20
81,93,20
93,73,20
73,97,20
53,99,20
53,91,20
91,96,20
96,83,20
6,37,20
