Target,Source,Weight
8,4,20
17,6,20
18,9,20
18,11,20
18,12,20
20,16,20
22,2,20
23,11,20
29,0,20
29,10,20
34,33,20
35,27,20
36,14,20
37,29,20
40,14,20
40,24,20
44,28,20
44,39,20
45,16,20
46,39,20
47,19,20
49,6,20
51,28,20
52,9,20
52,25,20
52,43,20
55,20,20
56,1,20
56,5,20
57,33,20
59,21,20
60,23,20
61,44,20
62,41,20
63,37,20
64,59,20
65,9,20
65,58,20
66,0,20
66,15,20
66,53,20
67,1,20
68,23,20
69,18,20
69,31,20
70,38,20
71,6,20
72,68,20
74,9,20
75,38,20
76,31,20
77,43,20
80,23,20
83,41,20
83,54,20
84,45,20
85,17,20
85,48,20
86,26,20
87,44,20
88,25,20
90,34,20
92,4,20
93,83,20
94,42,20
95,12,20
95,30,20
96,44,20
97,21,20
97,82,20
101,3,20
102,7,20
102,79,20
103,44,20
104,24,20
105,1,20
106,2,20
106,98,20
107,53,20
108,11,20
109,88,20
110,17,20
111,20,20
112,19,20
113,38,20
114,1,20
115,3,20
116,81,20
117,6,20
118,27,20
119,24,20
120,9,20
120,99,20
121,23,20
122,75,20
122,89,20
123,30,20
124,68,20
125,41,20
126,88,20
127,16,20
128,33,20
130,24,20
131,8,20
132,12,20
133,116,20
134,4,20
135,14,20
136,38,20
137,19,20
138,99,20
139,64,20
140,18,20
141,38,20
142,18,20
143,111,20
144,12,20
144,13,20
145,41,20
145,129,20
146,0,20
147,13,20
148,15,20
149,40,20
150,25,20
151,49,20
152,48,20
153,23,20
154,48,20
155,40,20
156,41,20
157,4,20
158,14,20
159,31,20
160,3,20
161,85,20
162,62,20
163,6,20
164,29,20
164,73,20
165,101,20
166,33,20
167,19,20
168,2,20
169,62,20
170,41,20
171,4,20
172,170,20
173,6,20
174,10,20
175,6,20
176,3,20
177,30,20
178,59,20
179,108,20
180,7,20
181,15,20
182,57,20
182,100,20
183,52,20
184,49,20
184,91,20
185,27,20
185,32,20
186,38,20
187,43,20
188,3,20
189,0,20
190,100,20
191,31,20
192,46,20
193,30,20
194,87,20
195,15,20
196,109,20
197,51,20
198,2,20
199,49,20
200,17,20
201,74,20
202,25,20
203,6,20
204,133,20
205,2,20
206,34,20
207,46,20
208,34,20
209,69,20
210,191,20
211,0,20
212,44,20
213,20,20
214,16,20
215,60,20
216,51,20
217,29,20
218,71,20
219,96,20
220,32,20
221,2,20
222,33,20
223,42,20
