Target,Source,Weight
56,4,20
4,21,20
21,37,20
37,6,20
6,63,20
63,29,20
29,2,20
2,19,20
19,11,20
11,23,20
23,89,20
89,5,20
5,7,20
7,14,20
14,1,20
1,51,20
51,53,20
53,69,20
69,8,20
8,92,20
92,49,20
49,20,20
20,70,20
70,13,20
13,59,20
59,33,20
33,30,20
30,25,20
25,15,20
15,0,20
0,16,20
16,47,20
47,17,20
17,3,20
3,42,20
42,96,20
96,35,20
35,46,20
46,44,20
44,27,20
27,40,20
40,9,20
9,18,20
18,36,20
36,26,20
26,54,20
54,32,20
32,77,20
77,10,20
10,12,20
12,34,20
34,55,20
55,39,20
39,80,20
80,62,20
62,84,20
84,48,20
48,95,20
95,24,20
24,38,20
38,74,20
74,64,20
64,31,20
31,58,20
58,28,20
28,99,20
99,85,20
85,76,20
76,41,20
41,71,20
71,60,20
60,50,20
50,79,20
79,75,20
75,90,20
90,73,20
73,57,20
57,52,20
52,98,20
98,43,20
43,94,20
94,88,20
88,45,20
45,78,20
78,72,20
72,82,20
82,22,20
56,67,20
67,81,20
81,65,20
65,87,20
87,68,20
68,86,20
86,93,20
93,61,20
56,66,20
4,97,20
2,91,20
70,83,20
