Target,Source,Weight
4,0,29
5,1,26
5,2,29
5,4,24
6,3,29
8,4,20
9,2,24
9,6,21
10,1,29
10,4,30
10,5,29
10,6,26
10,9,26
11,2,24
11,4,29
11,7,27
12,3,21
12,5,23
12,7,21
12,9,22
13,3,27
13,10,30
14,9,26
14,10,26
14,13,25
15,0,21
15,1,22
15,2,25
15,8,22
15,10,26
15,13,27
16,2,29
16,6,28
17,2,28
17,5,25
17,6,20
17,14,29
17,15,27
18,1,24
18,4,28
18,9,20
18,11,20
18,12,20
19,3,21
19,6,25
19,14,28
19,18,23
20,5,28
20,6,30
20,10,21
20,16,20
20,19,28
21,2,23
21,12,29
22,0,23
22,2,20
22,3,25
22,4,21
22,9,25
22,13,24
22,17,27
22,19,21
22,20,27
23,1,28
23,11,20
23,12,22
23,18,30
24,1,25
24,2,25
24,3,29
24,4,24
24,8,26
24,9,27
24,10,21
24,17,26
25,8,28
25,9,28
25,16,26
26,1,25
26,2,21
26,3,27
26,4,21
26,5,29
26,13,29
26,14,24
26,16,24
26,22,21
26,23,30
27,2,28
27,3,30
27,6,28
27,8,23
27,14,27
27,18,28
27,26,24
28,2,26
28,3,23
28,8,24
28,9,21
28,10,23
28,16,28
28,21,26
28,22,25
28,27,23
29,0,20
29,2,21
29,8,30
29,10,20
29,11,26
29,13,26
29,23,24
29,26,23
29,27,22
30,1,23
30,8,23
30,22,30
30,24,26
31,5,21
31,6,29
31,16,29
31,18,24
31,21,27
31,25,23
31,27,28
31,28,26
32,1,28
32,16,29
32,20,30
32,21,28
32,25,27
32,27,30
32,30,21
33,2,25
33,3,27
33,6,22
33,15,26
33,16,24
33,17,23
33,21,29
33,25,28
34,1,26
34,4,30
34,6,26
34,25,27
34,26,22
34,27,28
34,28,27
34,33,20
35,5,21
35,6,24
35,9,24
35,15,23
35,22,25
35,24,23
35,26,22
35,27,20
36,2,21
36,3,30
36,8,30
36,14,20
36,22,25
36,32,22
37,6,21
37,7,21
37,10,26
37,15,30
37,16,27
37,23,25
37,25,27
37,29,20
37,33,30
37,35,22
37,36,23
38,7,30
38,12,22
38,14,23
38,18,26
38,20,24
38,22,27
38,24,24
38,27,22
38,31,21
38,32,24
38,33,27
38,35,29
39,6,29
39,12,26
39,18,25
39,20,29
39,21,23
39,26,22
39,35,30
40,3,22
40,9,26
40,14,20
40,19,24
40,20,26
40,22,28
40,23,29
40,24,20
40,35,22
40,36,27
40,37,29
41,1,26
41,2,23
41,10,29
42,0,27
42,4,30
42,9,29
42,13,22
42,14,26
42,22,23
42,24,29
42,29,24
42,32,27
42,34,21
42,37,23
42,40,24
43,3,24
43,8,21
43,10,23
43,16,29
43,17,30
43,20,25
43,24,30
43,25,26
43,26,22
43,30,24
43,34,24
43,35,29
43,38,29
44,5,27
44,7,28
44,12,29
44,17,21
44,22,21
44,27,23
44,28,20
44,32,25
44,36,22
44,37,30
44,39,20
44,40,20
45,3,24
45,5,25
45,7,22
45,8,29
45,11,27
45,15,29
45,16,20
45,17,20
45,22,30
45,24,28
45,25,27
45,28,22
45,33,28
45,35,28
45,36,25
45,39,20
45,40,23
46,3,22
46,5,21
46,6,30
46,9,26
46,34,27
46,36,22
46,38,24
46,39,20
46,43,29
47,1,27
47,4,26
47,6,24
47,12,26
47,13,23
47,18,21
47,19,20
47,24,30
47,26,21
47,38,26
47,46,24
48,0,29
48,2,26
48,5,23
48,10,23
48,15,24
48,19,30
48,20,29
48,23,26
48,24,27
48,26,29
48,27,23
48,29,30
48,31,30
48,32,23
48,33,27
48,34,26
48,36,24
48,40,21
48,43,30
48,47,23
49,4,28
49,6,20
49,8,20
49,9,29
49,17,28
49,19,23
49,22,30
49,30,30
49,31,21
49,32,26
49,33,22
49,38,21
49,46,22
50,1,22
50,6,21
50,12,26
50,20,28
50,22,21
50,25,24
50,28,29
50,29,27
50,36,30
50,41,29
50,48,24
51,1,21
51,8,21
51,9,26
51,13,27
51,14,30
51,16,25
51,17,27
51,19,21
51,22,30
51,23,22
51,24,28
51,27,23
51,28,20
51,35,24
51,39,25
51,41,28
51,42,25
51,45,22
51,49,23
52,1,29
52,4,30
52,5,27
52,9,20
52,10,25
52,11,30
52,15,25
52,17,22
52,22,29
52,24,26
52,25,20
52,30,27
52,33,24
52,35,25
52,36,23
52,40,29
52,43,20
52,44,26
52,49,26
53,12,23
53,13,21
53,16,21
53,25,25
53,26,29
53,31,23
53,36,26
53,37,23
53,41,27
53,43,24
53,52,26
54,8,21
54,12,28
54,14,23
54,17,30
54,21,27
54,22,22
54,24,23
54,30,23
54,33,28
54,45,26
54,50,22
55,2,22
55,8,30
55,13,22
55,14,25
55,18,22
55,20,20
55,26,29
55,27,30
55,32,21
55,37,28
55,40,25
55,42,22
55,47,26
55,52,28
56,1,20
56,5,20
56,19,22
56,26,27
56,30,29
56,34,29
56,47,21
57,9,24
57,10,22
57,11,24
57,12,26
57,13,22
57,15,28
57,19,30
57,20,30
57,23,24
57,24,29
57,26,26
57,29,21
57,33,20
57,38,28
57,42,22
57,47,26
58,3,27
58,4,29
58,9,28
58,11,22
58,17,22
58,18,21
58,28,26
58,32,28
58,34,22
58,38,29
58,40,24
58,44,24
58,49,26
58,50,27
58,51,22
58,55,26
59,5,30
59,7,28
59,16,28
59,21,20
59,29,20
59,37,22
59,38,25
59,44,27
59,46,29
59,56,25
60,0,21
60,8,26
60,9,24
60,11,21
60,12,25
60,14,22
60,23,20
60,25,28
60,30,30
60,34,30
60,35,29
60,39,23
60,40,23
60,42,23
60,43,28
60,45,22
60,51,28
60,55,29
60,57,26
61,3,29
61,6,24
61,31,26
61,32,21
61,33,29
61,35,28
61,44,20
61,54,24
61,60,29
62,2,29
62,3,25
62,14,22
62,17,21
62,20,24
62,22,27
62,26,28
62,35,23
62,37,25
62,39,30
62,41,20
62,45,28
62,46,28
62,51,27
62,55,20
62,58,24
62,61,28
63,2,28
63,3,24
63,4,25
63,9,22
63,16,30
63,24,29
63,31,27
63,32,24
63,34,21
63,37,20
63,41,27
63,44,30
63,49,27
63,51,22
63,52,29
63,53,29
63,54,29
63,55,23
63,60,29
64,3,26
64,6,25
64,9,30
64,10,22
64,12,28
64,13,21
64,14,24
64,15,27
64,18,26
64,19,22
64,24,28
64,29,29
64,34,25
64,36,27
64,50,26
64,52,27
64,55,29
64,57,21
64,59,20
64,60,22
65,9,20
65,11,27
65,12,27
65,13,21
65,17,24
65,18,24
65,20,21
65,24,27
65,27,30
65,30,24
65,39,23
65,40,24
65,43,26
65,58,20
65,59,25
65,60,26
65,61,23
66,0,20
66,9,30
66,12,26
66,14,27
66,15,20
66,20,25
66,21,24
66,23,21
66,26,27
66,28,24
66,29,23
66,33,23
66,40,23
66,43,23
66,45,25
66,49,22
66,51,30
66,53,20
66,59,20
66,64,22
67,0,24
67,1,20
67,2,21
67,3,26
67,14,30
67,18,21
67,19,21
67,21,28
67,29,26
67,30,21
67,39,27
67,45,27
67,51,30
67,56,21
67,57,27
67,58,20
67,65,21
67,66,27
68,4,30
68,9,28
68,14,30
68,19,29
68,23,20
68,24,26
68,27,21
68,28,28
68,39,24
68,40,27
68,43,23
68,47,26
68,48,25
68,50,25
68,52,24
68,55,24
68,62,20
68,65,29
68,67,24
69,9,22
69,10,27
69,18,20
69,23,24
69,30,24
69,31,20
69,33,30
69,35,26
69,38,28
69,42,26
69,43,20
69,45,28
69,46,22
69,50,26
69,61,21
69,66,30
69,68,29
70,4,21
70,15,29
70,23,24
70,24,28
70,25,22
70,38,20
70,41,21
70,44,25
70,63,20
70,67,28
70,68,22
71,6,20
71,8,30
71,11,20
71,19,28
71,24,29
71,25,26
71,26,26
71,29,24
71,30,28
71,33,29
71,38,25
71,43,27
71,49,29
71,53,20
71,56,28
71,62,23
71,66,29
71,69,27
71,70,24
72,2,27
72,6,22
72,8,22
72,13,22
72,16,29
72,25,24
72,28,28
72,41,22
72,45,30
72,50,28
72,58,24
72,61,25
72,65,21
72,67,28
72,68,20
72,70,26
72,71,21
73,9,24
73,17,29
73,18,30
73,22,22
73,23,27
73,28,23
73,29,23
73,32,23
73,33,25
73,34,26
73,35,29
73,37,21
73,38,26
73,39,23
73,44,29
73,45,30
73,55,25
73,65,29
73,69,29
73,71,22
74,1,24
74,2,28
74,5,30
74,9,20
74,14,28
74,30,24
74,32,29
74,34,29
74,38,23
74,43,22
74,44,21
74,51,27
74,53,26
74,57,29
74,59,28
74,62,22
74,72,21
75,1,22
75,8,21
75,9,26
75,10,27
75,12,25
75,16,22
75,19,24
75,23,29
75,26,21
75,29,28
75,34,27
75,38,20
75,39,20
75,52,25
75,53,29
75,61,24
75,66,23
75,73,26
76,1,22
76,2,24
76,14,26
76,16,27
76,20,28
76,21,26
76,23,23
76,27,28
76,28,23
76,29,27
76,31,20
76,35,20
76,38,26
76,43,29
76,47,30
76,52,21
76,53,25
76,54,23
76,59,29
76,62,23
76,69,30
76,70,25
77,12,22
77,14,28
77,16,22
77,19,30
77,20,25
77,25,21
77,26,25
77,28,28
77,30,28
77,31,22
77,35,26
77,37,24
77,38,23
77,42,21
77,43,20
77,45,26
77,54,24
77,56,28
77,58,22
77,70,29
77,71,27
78,0,29
78,4,23
78,8,27
78,9,29
78,11,29
78,15,21
78,18,24
78,22,27
78,28,30
78,30,21
78,45,29
78,47,26
78,52,24
78,55,27
78,59,27
78,61,24
78,65,25
78,68,25
78,69,23
78,77,22
79,7,22
79,10,21
79,11,21
79,15,24
79,18,29
79,22,26
79,26,21
79,39,28
79,41,24
79,43,22
79,45,26
79,50,29
79,52,28
79,69,27
79,76,22
80,2,21
80,3,23
80,4,22
80,8,29
80,11,27
80,13,27
80,14,27
80,15,21
80,20,22
80,23,20
80,24,25
80,27,28
80,33,28
80,34,29
80,36,20
80,38,22
80,49,28
80,61,29
80,64,21
80,66,21
80,69,26
80,72,20
80,75,26
81,0,23
81,2,24
81,4,21
81,7,24
81,8,27
81,13,22
81,15,22
81,18,22
81,22,29
81,23,23
81,26,29
81,27,25
81,31,27
81,32,24
81,33,29
81,35,30
81,43,24
81,45,21
81,50,29
81,54,29
81,59,27
81,60,27
81,63,26
81,65,22
81,69,24
81,70,21
81,71,22
81,72,21
81,74,24
82,1,29
82,4,28
82,10,24
82,16,25
82,18,21
82,20,30
82,26,25
82,37,23
82,46,21
82,50,23
82,61,28
82,63,22
82,68,29
82,71,30
82,73,28
82,74,24
82,78,25
82,81,26
83,0,30
83,5,30
83,6,27
83,11,24
83,13,30
83,14,24
83,20,21
83,22,25
83,32,29
83,34,28
83,36,24
83,39,23
83,41,20
83,42,30
83,43,26
83,50,29
83,54,20
83,58,21
83,59,23
83,60,25
83,63,21
83,65,23
83,70,25
83,72,25
83,78,27
84,2,26
84,3,27
84,5,30
84,10,24
84,16,24
84,17,22
84,18,28
84,27,28
84,35,27
84,41,30
84,44,21
84,45,20
84,46,24
84,56,22
84,62,20
84,63,22
84,70,26
84,74,26
84,75,28
84,78,23
85,0,27
85,3,29
85,4,22
85,6,23
85,7,22
85,8,26
85,13,29
85,17,20
85,39,23
85,41,23
85,42,26
85,45,30
85,47,30
85,48,20
85,55,30
85,58,23
85,61,22
85,68,20
85,73,23
85,78,29
85,79,28
85,84,27
86,2,26
86,4,28
86,9,30
86,11,27
86,17,21
86,20,27
86,23,26
86,26,20
86,27,22
86,29,28
86,31,29
86,37,20
86,45,29
86,46,21
86,50,25
86,57,24
86,59,30
86,61,22
86,68,23
86,76,26
86,78,21
87,1,24
87,5,30
87,8,23
87,11,23
87,12,23
87,14,26
87,21,27
87,25,24
87,30,23
87,33,26
87,34,24
87,36,22
87,44,20
87,54,27
87,56,22
87,57,23
87,61,20
87,63,25
87,71,25
87,86,27
88,1,29
88,11,21
88,17,29
88,19,29
88,20,29
88,24,22
88,25,20
88,28,22
88,29,30
88,30,29
88,34,23
88,36,26
88,44,30
88,48,20
88,55,30
88,64,21
88,70,24
88,72,22
88,76,27
88,78,30
88,79,24
88,83,28
88,84,26
89,1,27
89,2,28
89,7,21
89,9,23
89,11,29
89,13,28
89,19,30
89,22,29
89,30,23
89,34,22
89,36,30
89,37,27
89,38,28
89,41,29
89,50,30
89,53,28
89,62,28
89,63,21
89,64,23
89,66,26
89,67,28
89,85,23
89,86,26
90,1,23
90,3,21
90,7,21
90,9,27
90,17,30
90,32,30
90,34,20
90,35,23
90,40,26
90,55,22
90,59,26
90,60,30
90,63,28
90,67,28
90,70,27
90,79,21
90,81,28
91,15,22
91,18,30
91,22,30
91,25,30
91,29,28
91,37,26
91,45,28
91,46,23
91,52,28
91,57,28
91,67,26
91,69,30
91,70,30
91,82,28
91,85,22
91,90,30
92,0,23
92,2,26
92,4,20
92,7,21
92,17,21
92,25,20
92,29,28
92,31,21
92,32,24
92,33,20
92,39,26
92,41,21
92,43,27
92,50,26
92,60,25
92,65,26
92,70,25
92,75,30
92,77,22
92,81,23
92,85,29
92,87,26
92,89,25
92,91,26
93,2,23
93,3,21
93,11,23
93,15,21
93,17,25
93,22,26
93,31,30
93,34,24
93,36,27
93,37,27
93,43,30
93,46,22
93,48,25
93,52,27
93,53,22
93,57,22
93,58,29
93,60,27
93,64,26
93,72,25
93,74,26
93,79,21
93,83,20
93,84,21
93,89,24
94,6,29
94,8,25
94,10,25
94,14,22
94,16,21
94,18,27
94,24,22
94,27,21
94,28,26
94,31,30
94,32,25
94,36,27
94,37,23
94,38,27
94,42,20
94,44,20
94,47,20
94,53,21
94,59,23
94,61,26
94,63,22
94,70,30
94,71,21
94,72,24
94,73,21
94,74,29
94,79,28
94,84,23
94,86,29
94,92,22
95,7,29
95,10,30
95,12,20
95,20,22
95,21,25
95,22,29
95,25,25
95,27,24
95,30,20
95,33,20
95,34,27
95,46,21
95,55,27
95,60,30
95,68,25
95,73,27
95,77,21
95,82,22
95,87,30
96,3,21
96,4,22
96,6,21
96,14,28
96,16,23
96,20,22
96,24,23
96,27,24
96,31,22
96,32,28
96,34,23
96,35,21
96,37,25
96,40,23
96,42,26
96,44,20
96,46,26
96,49,23
96,52,27
96,53,24
96,54,27
96,59,25
96,60,20
96,69,25
96,70,30
96,74,25
96,86,23
96,89,29
96,90,28
97,0,23
97,2,23
97,3,25
97,4,23
97,6,24
97,11,23
97,13,24
97,15,21
97,21,20
97,25,30
97,34,24
97,36,24
97,44,22
97,45,30
97,53,28
97,55,23
97,57,26
97,58,27
97,59,23
97,60,25
97,61,28
97,64,29
97,65,27
97,66,24
97,78,30
97,82,20
97,86,27
97,87,25
97,89,28
97,95,28
98,6,28
98,9,26
98,13,30
98,15,21
98,16,21
98,34,24
98,38,26
98,40,29
98,42,28
98,44,24
98,47,24
98,58,26
98,61,25
98,66,23
98,73,25
98,75,30
98,76,27
98,81,28
98,82,26
98,87,21
98,89,23
98,94,22
99,5,24
99,9,26
99,17,28
99,29,22
99,39,26
99,43,29
99,45,28
99,47,26
99,57,26
99,67,22
99,70,25
99,74,26
99,78,23
99,79,30
99,80,30
99,81,29
99,84,28
99,91,24
99,93,21
100,2,30
100,6,28
100,9,30
100,12,26
100,18,22
100,20,29
100,23,27
100,25,23
100,27,30
100,29,21
100,32,24
100,34,26
100,44,25
100,47,22
100,51,30
100,55,22
100,58,25
100,76,23
100,82,25
100,85,21
100,95,28
100,97,28
100,98,27
101,3,20
101,6,28
101,9,21
101,16,21
101,18,24
101,20,30
101,24,20
101,27,23
101,29,26
101,30,22
101,39,23
101,43,20
101,60,23
101,61,28
101,68,28
101,69,23
101,70,26
101,71,24
101,72,30
101,74,21
101,80,28
101,82,21
101,83,23
101,87,28
101,89,22
101,96,26
101,97,21
102,7,20
102,9,21
102,10,22
102,17,21
102,30,21
102,36,22
102,37,20
102,43,24
102,46,26
102,49,26
102,53,26
102,57,23
102,60,20
102,64,29
102,65,23
102,66,29
102,67,30
102,68,26
102,70,24
102,73,26
102,79,20
102,80,24
102,82,24
102,84,26
102,85,25
102,97,30
103,2,21
103,8,23
103,9,30
103,10,25
103,13,22
103,31,24
103,33,30
103,34,21
103,35,24
103,38,25
103,41,25
103,42,22
103,44,20
103,48,30
103,56,25
103,59,22
103,66,23
103,67,22
103,68,21
103,80,21
103,81,27
103,82,20
103,86,30
103,91,24
103,93,25
103,96,20
103,102,29
104,0,28
104,1,23
104,2,24
104,7,22
104,9,26
104,10,28
104,21,26
104,24,20
104,32,21
104,37,20
104,44,28
104,45,21
104,66,30
104,70,30
104,75,27
104,79,26
104,82,22
104,83,29
104,84,20
104,91,23
104,92,29
104,98,24
104,100,26
105,1,20
105,2,23
105,3,29
105,6,28
105,9,27
105,15,25
105,24,28
105,29,28
105,36,26
105,40,29
105,41,25
105,44,28
105,46,22
105,64,21
105,68,28
105,70,28
105,71,25
105,77,20
105,81,21
105,84,24
105,97,26
105,98,25
105,101,26
106,2,20
106,3,28
106,8,25
106,16,30
106,17,20
106,18,26
106,25,24
106,26,28
106,27,24
106,29,22
106,35,26
106,38,29
106,40,27
106,41,24
106,45,26
106,51,24
106,52,28
106,53,21
106,63,28
106,66,22
106,72,28
106,73,23
106,75,25
106,79,25
106,93,27
106,98,20
106,102,28
107,3,24
107,4,27
107,12,22
107,14,22
107,15,27
107,16,27
107,27,28
107,28,29
107,34,29
107,35,22
107,40,26
107,47,27
107,52,26
107,53,20
107,56,22
107,58,26
107,60,29
107,65,30
107,66,20
107,86,20
107,92,21
107,96,30
107,98,27
107,100,22
107,101,22
107,102,22
107,104,29
108,3,21
108,11,20
108,12,28
108,14,30
108,16,26
108,21,24
108,24,29
108,25,28
108,34,22
108,48,21
108,63,30
108,68,20
108,73,24
108,79,26
108,82,20
108,83,20
108,85,23
108,87,28
108,89,24
108,90,27
108,94,28
108,96,23
108,97,28
108,98,29
108,100,23
109,0,22
109,3,29
109,8,24
109,9,22
109,12,30
109,13,23
109,17,22
109,21,27
109,26,29
109,27,28
109,36,23
109,54,29
109,58,22
109,65,26
109,67,25
109,68,28
109,72,22
109,75,25
109,76,22
109,83,24
109,84,24
109,88,20
109,91,30
109,93,22
109,94,30
109,97,28
109,99,30
109,107,25
110,6,24
110,7,23
110,14,27
110,16,28
110,17,20
110,21,27
110,24,22
110,26,26
110,27,23
110,29,26
110,36,22
110,38,20
110,42,22
110,43,21
110,44,23
110,47,28
110,55,21
110,64,30
110,67,25
110,70,29
110,71,30
110,72,26
110,73,21
110,75,27
110,76,22
110,83,26
110,89,24
110,93,24
110,97,20
110,99,27
110,105,29
110,106,28
110,107,27
111,0,22
111,2,25
111,5,21
111,6,26
111,9,27
111,19,24
111,20,20
111,25,29
111,35,20
111,36,21
111,38,27
111,41,27
111,44,22
111,46,20
111,47,30
111,52,29
111,58,22
111,62,26
111,67,29
111,72,22
111,73,22
111,78,21
111,84,26
111,86,24
111,89,28
111,92,21
111,94,20
111,97,20
111,104,21
111,106,20
111,108,27
112,2,30
112,3,23
112,8,29
112,12,24
112,19,20
112,20,22
112,29,24
112,32,23
112,33,24
112,35,27
112,40,21
112,48,22
112,50,27
112,53,24
112,57,21
112,63,27
112,72,22
112,73,25
112,82,30
112,92,26
112,96,24
112,103,22
112,106,24
112,109,24
113,19,29
113,25,29
113,26,25
113,32,30
113,33,23
113,36,22
113,38,20
113,42,27
113,45,26
113,49,25
