Target,Source,Weight
0,10,21
1,11,27
2,12,27
3,13,25
4,14,27
5,15,22
6,16,30
7,17,23
8,18,26
9,19,29
10,20,29
11,21,27
12,22,30
13,23,24
14,24,25
15,25,20
16,26,21
17,27,20
18,28,30
19,29,27
20,30,24
21,31,26
22,32,29
23,33,20
24,34,21
25,35,20
26,36,26
27,37,30
28,38,22
29,39,21
30,40,25
31,41,22
32,42,26
33,43,21
34,44,27
35,45,25
36,46,29
37,47,25
38,48,27
39,49,20
40,50,28
41,51,23
42,52,20
43,53,20
44,54,22
45,55,28
46,56,27
47,57,25
48,58,21
49,59,23
50,60,22
51,61,22
52,62,28
53,63,21
54,64,23
55,65,29
56,66,28
57,67,27
58,68,27
59,69,30
60,70,24
61,71,27
62,72,23
63,73,30
64,74,30
65,75,21
66,76,28
67,77,20
68,78,22
69,79,28
70,80,26
71,81,26
72,82,30
73,83,22
74,84,24
75,85,28
76,86,23
77,87,21
78,88,26
79,89,25
80,90,20
81,91,20
82,92,29
83,93,30
84,94,26
85,95,27
86,96,28
87,97,22
88,98,28
89,99,23
54,55,27
86,87,24
42,43,23
74,75,21
92,93,27
28,29,29
36,37,21
61,62,25
40,41,30
72,73,27
18,19,23
34,35,25
94,95,29
30,31,21
46,47,30
82,83,25
98,99,25
95,96,22
80,81,23
96,97,29
16,17,26
32,33,20
6,7,22
44,45,27
52,53,22
76,77,21
84,85,28
25,26,24
27,28,29
35,36,22
47,48,20
4,5,26
37,38,20
41,42,25
14,15,30
2,3,22
55,56,24
51,52,25
43,44,23
0,1,27
17,18,23
33,34,23
45,46,21
53,54,25
15,16,30
67,68,26
7,8,25
3,4,21
71,72,21
22,23,30
10,11,23
5,6,26
8,9,24
31,32,26
63,64,25
65,66,21
1,2,22
58,59,23
70,71,20
12,13,27
20,21,25
56,57,22
91,92,29
60,61,23
68,69,23
93,94,24
73,74,29
50,51,20
66,67,22
62,63,29
78,79,30
75,76,20
23,24,29
83,84,27
11,12,23
87,88,23
48,49,27
64,65,27
38,39,29
90,91,20
81,82,30
97,98,24
77,78,24
85,86,24
26,27,21
13,14,21
21,22,28
24,25,23
57,58,24
88,89,29
