Target,Source,Weight
0,20,23
1,21,20
2,22,20
3,23,25
4,24,23
5,25,29
6,26,20
7,27,22
8,28,27
9,29,25
10,30,26
11,31,23
12,32,20
13,33,24
14,34,30
15,35,30
16,36,22
17,37,21
18,38,23
19,39,27
20,40,24
21,41,29
22,42,21
23,43,21
24,44,28
25,45,29
26,46,26
27,47,27
28,48,30
29,49,27
30,50,29
31,51,27
32,52,28
33,53,30
34,54,22
35,55,26
36,56,26
37,57,24
38,58,27
39,59,25
40,60,23
41,61,28
42,62,29
43,63,26
44,64,24
45,65,30
46,66,27
47,67,21
48,68,28
49,69,24
50,70,25
51,71,20
52,72,25
53,73,21
54,74,24
55,75,30
56,76,28
57,77,26
58,78,23
59,79,24
60,80,26
61,81,27
62,82,22
63,83,29
64,84,26
65,85,22
66,86,27
67,87,28
68,88,30
69,89,30
70,90,28
71,91,25
72,92,20
73,93,29
74,94,23
75,95,29
76,96,21
77,97,28
78,98,20
79,99,30
80,100,29
81,101,21
82,102,22
83,103,21
84,104,29
85,105,28
86,106,30
87,107,29
88,108,27
89,109,23
90,110,22
91,111,24
92,112,25
93,113,24
94,114,28
95,115,22
96,116,25
97,117,20
98,118,21
99,119,21
100,120,26
101,121,30
102,122,29
103,123,22
104,124,22
105,125,30
106,126,25
107,127,28
108,128,20
109,129,30
110,130,23
111,131,25
112,132,23
113,133,28
114,134,23
115,135,23
116,136,24
117,137,24
118,138,22
119,139,23
120,140,27
121,141,28
122,142,27
123,143,24
124,144,25
125,145,21
126,146,30
127,147,21
128,148,24
129,149,29
130,150,28
131,151,24
132,152,20
133,153,27
134,154,29
135,155,23
136,156,23
137,157,30
138,158,30
139,159,21
140,160,28
141,161,24
142,162,24
143,163,25
144,164,30
145,165,23
146,166,23
147,167,21
148,168,30
149,169,29
150,170,24
151,171,28
152,172,30
153,173,21
154,174,29
155,175,23
156,176,26
157,177,22
158,178,25
159,179,29
160,180,29
161,181,22
162,182,30
163,183,25
164,184,27
165,185,29
166,186,23
167,187,21
168,188,29
169,189,30
170,190,26
171,191,29
172,192,24
173,193,26
174,194,28
175,195,29
176,196,20
177,197,27
178,198,20
179,199,26
180,200,24
181,201,20
182,202,24
183,203,20
184,204,20
185,205,24
186,206,29
187,207,22
188,208,30
189,209,21
190,210,21
191,211,27
192,212,20
193,213,29
194,214,20
195,215,21
196,216,24
197,217,27
198,218,22
199,219,21
200,220,23
201,221,20
202,222,25
203,223,27
204,224,27
205,225,27
206,226,30
207,227,21
208,228,21
209,229,20
210,230,27
211,231,30
212,232,23
213,233,24
214,234,23
215,235,28
216,236,28
217,237,23
218,238,22
219,239,23
220,240,28
221,241,28
222,242,25
223,243,24
224,244,23
225,245,23
226,246,27
227,247,26
228,248,28
229,249,25
230,250,20
231,251,20
232,252,30
233,253,29
234,254,21
235,255,20
236,256,20
237,257,21
238,258,26
239,259,29
240,260,23
241,261,25
242,262,27
243,263,29
244,264,25
245,265,29
246,266,20
247,267,26
248,268,25
249,269,28
250,270,20
251,271,24
252,272,25
253,273,29
254,274,28
255,275,22
256,276,26
257,277,30
258,278,29
259,279,22
260,280,27
261,281,26
262,282,28
263,283,30
264,284,22
265,285,27
266,286,20
267,287,20
268,288,29
269,289,20
270,290,23
271,291,27
272,292,28
273,293,25
274,294,23
275,295,24
276,296,28
277,297,26
278,298,27
279,299,27
280,300,28
281,301,27
282,302,21
283,303,21
284,304,25
285,305,30
286,306,30
287,307,26
288,308,28
289,309,27
290,310,30
291,311,23
292,312,24
293,313,27
294,314,30
295,315,30
296,316,24
297,317,28
298,318,25
299,319,21
300,320,25
301,321,30
302,322,28
303,323,23
304,324,20
305,325,28
306,326,21
307,327,25
308,328,25
309,329,30
310,330,30
311,331,29
312,332,23
313,333,26
314,334,20
315,335,29
316,336,20
317,337,27
318,338,25
319,339,24
320,340,20
321,341,29
322,342,27
323,343,23
324,344,24
325,345,28
326,346,22
327,347,22
328,348,28
329,349,30
330,350,23
331,351,28
332,352,24
333,353,23
334,354,29
335,355,25
336,356,30
337,357,23
338,358,30
339,359,21
340,360,23
341,361,30
342,362,27
343,363,21
344,364,20
345,365,30
346,366,22
347,367,26
348,368,30
349,369,29
350,370,26
351,371,24
352,372,29
353,373,21
354,374,30
355,375,28
356,376,29
357,377,25
358,378,29
359,379,20
360,380,28
361,381,22
362,382,29
363,383,23
364,384,30
365,385,21
366,386,30
367,387,22
368,388,28
369,389,23
370,390,25
371,391,29
372,392,22
373,393,28
374,394,23
375,395,29
376,396,22
377,397,26
378,398,25
379,399,22
380,400,20
381,401,20
382,402,30
383,403,24
384,404,24
385,405,27
386,406,24
387,407,25
388,408,28
389,409,22
390,410,20
391,411,29
392,412,23
393,413,26
394,414,28
395,415,22
396,416,20
397,417,25
398,418,27
399,419,20
400,420,30
401,421,24
402,422,30
403,423,26
404,424,28
405,425,28
406,426,26
407,427,22
408,428,27
409,429,29
410,430,26
411,431,29
412,432,26
413,433,25
414,434,20
415,435,29
416,436,29
417,437,22
418,438,29
419,439,23
420,440,30
421,441,20
422,442,26
423,443,21
424,444,27
425,445,30
426,446,30
427,447,30
428,448,28
429,449,23
430,450,21
431,451,29
432,452,21
433,453,26
434,454,27
435,455,25
436,456,27
437,457,28
438,458,30
439,459,30
440,460,22
441,461,23
442,462,30
443,463,24
444,464,25
445,465,29
446,466,28
447,467,20
448,468,28
449,469,20
450,470,30
451,471,30
452,472,28
453,473,21
454,474,23
455,475,26
456,476,26
457,477,25
458,478,29
459,479,24
460,480,22
461,481,25
462,482,23
463,483,27
464,484,25
465,485,22
466,486,30
467,487,26
468,488,29
469,489,23
470,490,24
471,491,20
472,492,24
473,493,29
474,494,28
475,495,29
476,496,23
477,497,29
478,498,28
479,499,30
426,427,29
458,459,24
54,55,20
86,87,23
125,126,22
156,157,27
356,357,23
100,101,29
381,382,27
412,413,27
481,482,27
424,425,21
456,457,20
40,41,28
72,73,23
18,19,29
222,223,22
290,291,28
494,495,24
34,35,30
238,239,28
274,275,23
478,479,26
223,224,28
113,114,21
144,145,24
336,337,29
160,161,20
352,353,25
433,434,22
262,263,24
134,135,27
300,301,29
332,333,22
436,437,30
468,469,28
250,251,24
378,379,29
44,45,24
76,77,23
281,282,21
180,181,30
25,26,20
283,284,29
27,28,30
163,164,20
4,5,27
29,30,20
293,294,21
105,106,27
425,426,26
142,143,23
270,271,25
242,243,29
370,371,30
55,56,20
107,108,29
243,244,27
371,372,22
33,34,24
273,274,20
491,492,25
17,18,21
289,290,29
109,110,26
181,182,25
365,366,21
437,438,21
271,272,25
323,324,29
463,464,22
15,16,20
67,68,27
207,208,20
150,151,25
234,235,23
278,279,27
362,363,29
325,326,29
69,70,26
193,194,27
321,322,29
58,59,22
198,199,26
314,315,23
454,455,23
20,21,25
244,245,23
268,269,30
492,493,29
103,104,20
227,228,28
367,368,25
475,476,30
201,202,28
329,330,30
50,51,30
190,191,26
322,323,23
462,463,26
66,67,25
206,207,23
306,307,25
446,447,26
83,84,28
395,396,27
64,65,27
166,167,20
218,219,23
294,295,28
346,347,26
205,206,21
341,342,30
85,86,30
461,462,30
313,314,28
57,58,29
249,250,25
315,316,25
42,43,23
74,75,27
182,183,27
214,215,28
36,37,27
228,229,22
298,299,24
330,331,26
438,439,26
470,471,29
61,62,21
253,254,21
284,285,24
476,477,25
174,175,24
226,227,25
302,303,20
354,355,24
286,287,29
158,159,20
210,211,30
338,339,26
351,352,24
305,306,20
497,498,27
49,50,20
241,242,29
212,213,20
153,154,30
120,121,22
407,408,28
167,168,29
295,296,23
431,432,21
47,48,20
157,158,21
380,381,30
388,389,21
124,125,29
132,133,30
413,414,26
297,298,24
489,490,20
41,42,29
233,234,22
382,383,27
386,387,25
126,127,21
130,131,22
435,436,25
43,44,25
145,146,20
247,248,23
112,113,28
161,162,27
384,385,22
45,46,21
237,238,20
309,310,28
3,4,27
71,72,29
143,144,29
195,196,24
335,336,27
391,392,23
138,139,21
374,375,23
118,119,26
394,395,23
5,6,24
389,390,29
392,393,22
104,105,22
415,416,29
447,448,28
31,32,27
63,64,24
129,130,23
385,386,29
186,187,22
326,327,21
364,365,22
404,405,27
108,109,22
148,149,21
473,474,30
89,90,22
184,185,25
312,313,29
347,348,23
487,488,27
91,92,21
231,232,27
68,69,27
349,350,21
444,445,29
485,486,28
93,94,20
188,189,29
229,230,26
324,325,30
393,394,29
137,138,27
194,195,26
334,335,22
178,179,22
318,319,28
211,212,27
87,88,22
267,268,20
192,193,20
97,98,23
320,321,21
465,466,22
154,155,28
358,359,29
304,305,29
81,82,30
21,22,28
176,177,22
102,103,23
410,411,29
141,142,22
