Target,Source,Weight
300,320,25
320,340,20
340,341,21
320,321,21
340,360,23
360,361,23
361,381,22
381,401,20
401,421,24
421,441,20
441,461,23
461,460,22
460,440,22
460,480,22
421,420,24
441,442,25
442,443,21
443,423,21
423,422,23
443,463,24
463,464,22
464,444,25
461,481,25
464,484,25
484,485,24
485,465,22
465,466,22
466,467,23
467,447,20
447,446,26
446,445,25
361,362,26
423,403,26
403,383,24
383,363,23
363,343,21
343,323,23
323,303,23
303,302,20
302,282,21
282,281,21
303,283,21
303,304,21
304,324,20
323,322,23
403,404,24
404,384,24
384,385,22
385,365,21
365,366,21
366,346,22
346,326,22
326,306,21
306,305,20
326,327,21
327,347,22
365,364,22
364,344,20
344,345,21
366,367,23
367,387,22
347,348,23
302,301,24
327,328,24
328,329,22
304,284,25
284,264,22
264,263,22
264,265,22
265,266,24
266,246,20
266,286,20
286,285,22
263,262,24
262,261,24
266,267,24
267,287,20
287,288,20
267,268,20
288,289,22
289,269,20
269,270,21
270,250,20
250,230,20
230,231,23
231,251,20
270,290,23
251,271,24
271,272,25
272,273,23
273,274,20
274,294,23
294,293,21
274,275,23
275,255,22
255,235,20
255,254,20
254,234,21
254,253,21
234,233,22
234,214,23
214,194,20
275,295,24
295,296,23
296,316,24
316,336,20
316,317,21
233,213,24
213,212,20
212,192,20
192,193,20
212,232,23
192,172,24
306,307,25
307,308,22
308,309,21
367,368,25
387,407,25
407,427,22
387,386,25
386,406,24
406,405,24
264,244,25
244,224,23
224,225,20
225,245,23
225,226,25
226,227,25
227,207,21
207,208,20
208,228,21
208,209,21
209,229,20
209,189,21
207,187,22
187,167,21
167,166,20
167,147,21
147,127,21
127,126,21
147,146,21
146,145,20
145,125,21
187,186,22
207,206,23
206,205,21
166,165,23
127,128,23
128,108,20
108,109,22
109,89,23
89,90,22
90,91,21
91,92,21
92,72,20
90,110,22
110,130,23
130,131,22
72,73,23
73,53,21
73,74,21
74,94,23
94,93,20
130,129,23
187,188,24
145,144,24
186,185,24
128,148,24
148,149,21
149,150,23
150,170,24
170,171,23
91,111,24
111,112,23
112,132,23
132,152,20
152,153,20
153,173,21
131,151,24
74,54,24
54,55,20
55,56,20
54,34,22
56,57,23
57,37,24
37,17,21
17,18,21
17,16,21
16,15,20
16,36,22
18,38,23
38,39,23
93,113,24
113,114,21
114,115,20
115,95,22
114,134,23
134,133,23
115,135,23
135,155,23
155,175,23
155,156,23
156,136,23
136,116,24
34,33,24
33,32,23
32,12,20
12,11,23
11,31,23
31,30,24
30,29,20
29,28,21
175,174,24
136,137,24
137,117,24
117,97,20
97,96,22
96,76,21
117,118,22
118,98,21
98,78,20
98,99,20
99,119,21
118,138,22
138,139,21
139,159,21
159,158,20
158,157,21
157,177,22
177,178,21
178,198,20
198,218,22
218,238,22
238,237,20
237,257,21
257,256,22
256,236,20
177,176,22
176,196,20
178,179,22
76,77,23
78,58,23
58,59,22
218,219,23
219,199,21
219,239,23
237,217,23
196,197,23
217,216,24
33,13,24
11,10,24
196,195,24
195,215,21
59,79,24
10,9,25
261,241,25
241,240,22
240,260,23
268,248,25
248,247,23
248,249,24
251,252,25
316,315,25
315,314,23
314,334,20
334,335,22
335,355,25
355,354,24
126,106,25
91,71,25
71,51,20
72,52,25
144,124,25
124,104,22
104,103,20
103,83,21
104,105,22
103,123,22
103,102,23
102,82,22
82,62,22
62,63,20
62,61,21
61,60,20
60,40,23
102,101,23
101,81,21
123,143,24
143,142,23
142,141,22
141,161,24
161,160,20
161,181,22
181,201,20
201,221,20
201,200,21
200,220,23
200,180,24
63,64,24
64,44,24
44,45,24
45,46,21
46,47,21
47,48,20
47,67,21
48,49,23
49,50,20
40,20,24
20,0,23
142,162,24
162,163,23
163,164,20
49,69,24
185,184,25
184,204,20
204,203,22
203,183,20
203,202,20
202,182,24
202,222,25
222,223,22
223,243,24
15,14,25
355,356,25
356,357,23
357,337,23
81,80,25
44,43,25
43,23,21
43,42,23
42,22,21
22,2,20
2,1,20
1,21,20
67,66,25
66,65,23
65,85,22
50,70,25
222,242,25
357,377,25
377,378,22
378,398,25
398,397,23
397,396,23
396,416,20
396,376,22
376,375,22
375,374,23
374,394,23
394,395,23
395,415,22
398,399,24
399,419,20
399,379,22
379,359,20
359,339,21
419,439,23
419,418,24
418,417,22
417,437,22
437,438,21
339,319,24
319,299,21
299,298,24
298,297,24
23,3,25
23,24,25
24,25,20
25,26,20
26,6,20
6,7,20
7,27,22
7,8,23
24,4,23
6,5,24
298,318,25
318,338,25
423,424,26
424,425,21
425,426,26
463,462,26
462,482,23
467,487,26
487,486,20
281,280,26
192,191,26
191,190,26
190,210,21
427,428,26
428,429,25
429,430,20
430,450,21
430,431,22
431,432,21
432,452,21
429,449,23
449,469,20
469,489,23
489,490,20
490,470,24
452,451,24
449,448,24
489,488,24
89,88,26
88,87,22
87,86,23
55,35,26
238,258,26
258,259,23
259,279,22
256,276,26
276,277,26
277,278,20
64,84,26
357,358,26
430,410,26
410,390,20
410,409,20
409,389,22
389,388,21
390,391,23
391,392,23
392,372,22
372,371,22
392,393,22
389,369,23
369,370,23
392,412,23
372,373,23
373,353,21
353,333,23
333,332,22
332,312,23
312,311,20
311,291,23
371,351,24
351,352,24
312,292,24
351,350,26
350,349,21
350,330,23
330,331,26
432,433,26
433,434,22
434,414,20
434,435,23
435,455,25
455,454,23
454,474,23
454,453,23
453,473,21
473,472,22
472,492,24
492,491,25
491,471,20
433,413,25
435,436,25
333,313,26
311,310,26
455,475,26
381,382,27
463,483,27
362,342,27
403,402,27
212,211,27
74,75,27
170,169,27
39,19,27
142,122,27
67,68,27
428,408,27
412,411,27
436,456,27
456,457,20
457,477,25
477,478,21
477,476,25
476,496,23
496,497,22
496,495,22
495,494,24
494,493,26
478,479,26
479,459,24
459,458,24
497,498,27
498,499,25
360,380,28
380,400,20
305,325,28
127,107,28
155,154,28
61,41,28
141,121,28
121,120,22
120,100,26
120,140,27
469,468,28
167,168,29
