Target,Source,Weight
21,46,20
38,53,20
26,46,20
10,80,20
35,59,20
89,9,20
2,19,20
41,35,20
8,57,20
48,81,20
70,53,20
93,21,20
4,53,20
71,5,20
98,26,20
17,16,20
1,83,20
79,80,20
72,78,20
56,71,20
69,37,20
59,46,21
6,21,21
5,55,21
27,25,21
28,53,21
66,86,21
33,83,21
92,16,21
95,35,21
88,53,21
68,59,21
40,49,21
96,57,21
18,78,21
29,2,21
73,80,21
50,4,21
50,9,21
85,32,21
55,46,22
10,38,22
19,16,22
35,16,22
81,38,22
3,25,22
99,37,22
40,78,22
94,16,22
85,83,22
63,93,22
57,16,23
14,83,23
77,80,23
78,53,23
74,52,23
6,83,23
91,46,23
3,86,23
87,9,23
61,8,23
31,6,23
47,75,23
60,55,23
67,44,23
12,26,23
37,21,24
86,64,24
75,25,24
22,48,24
58,65,24
45,9,24
30,55,24
54,55,24
84,86,24
0,78,24
82,17,24
34,69,24
38,16,25
90,83,25
39,46,25
58,36,25
13,55,25
42,78,25
76,46,26
66,65,26
97,21,26
44,65,26
11,87,26
15,64,27
20,16,27
7,64,28
23,78,28
43,25,29
62,52,29
51,81,29
24,1,29
