Target,Source,Weight
50,35,30
51,35,30
96,35,30
9,58,30
9,64,30
31,0,30
31,41,30
27,8,30
4,64,30
1,35,30
56,53,30
37,43,30
95,25,30
97,50,30
47,24,30
5,55,30
66,7,30
84,25,30
52,65,30
33,35,30
93,8,30
45,35,29
89,8,29
72,35,29
21,9,29
17,20,29
11,6,29
10,94,29
39,2,29
88,75,29
8,71,28
54,35,28
81,83,28
98,26,28
82,23,28
80,75,28
30,35,28
17,42,28
86,94,28
77,88,28
90,71,27
29,55,27
48,55,27
15,35,27
60,27,27
68,83,27
10,79,27
73,29,27
13,32,27
76,9,27
40,8,27
22,54,27
85,9,27
19,95,27
74,35,27
36,35,26
28,71,26
14,45,26
18,89,26
38,56,26
87,48,26
92,23,25
70,20,25
38,59,25
3,30,25
61,6,25
12,83,25
93,99,25
46,75,24
67,94,24
14,34,24
16,6,24
69,35,23
49,23,23
62,25,23
57,27,23
63,53,22
91,20,21
44,0,21
78,72,20
