Target,Source,Weight
323,297,21
297,361,24
323,361,27
412,297,27
412,361,27
7,323,20
7,297,29
314,7,22
314,323,22
282,412,22
282,297,21
448,7,27
448,297,23
393,314,25
393,323,22
116,297,29
116,361,25
277,282,24
277,412,29
409,323,22
409,361,24
494,409,29
494,323,21
50,116,23
50,361,29
307,409,23
307,323,25
173,116,20
173,297,21
33,323,27
33,297,27
264,282,29
264,412,30
372,33,27
372,323,20
134,323,20
134,361,26
300,116,22
300,297,29
165,300,22
165,297,26
63,314,30
63,7,28
427,494,25
427,323,30
11,393,30
11,314,22
499,323,23
499,297,22
5,11,26
5,393,24
91,494,29
91,409,27
259,412,30
259,297,23
354,297,21
354,361,27
175,412,23
175,297,29
13,116,23
13,361,20
145,165,27
145,297,23
204,145,29
204,165,20
418,116,21
418,297,23
126,50,20
126,361,29
378,173,29
378,297,26
9,323,23
9,297,26
46,412,27
46,361,24
468,300,25
468,116,28
344,499,27
344,297,26
367,116,22
367,297,28
185,11,30
185,393,30
488,259,24
488,297,26
139,372,24
139,33,25
302,91,30
302,494,21
309,314,21
309,323,29
180,378,27
180,173,28
120,165,24
120,297,28
174,448,29
174,297,30
54,165,22
54,297,26
428,393,20
428,323,29
128,126,25
128,50,28
315,126,25
315,361,29
347,139,22
347,33,28
52,174,25
52,448,25
453,307,30
453,409,28
149,54,30
149,297,24
195,453,30
195,307,20
179,204,26
179,145,28
435,179,26
435,145,20
230,468,23
230,116,28
335,9,30
335,297,21
252,393,23
252,314,28
382,335,20
382,297,26
328,428,26
328,323,27
65,50,26
65,116,28
119,33,22
119,323,24
86,347,21
86,33,24
446,65,24
446,50,28
353,328,25
353,428,23
157,145,30
157,297,24
103,409,26
103,323,26
94,145,22
94,165,25
215,91,22
215,409,24
405,264,22
405,412,20
118,427,23
118,494,22
186,315,25
186,126,30
178,418,29
178,116,22
425,382,28
425,297,28
472,119,25
472,323,23
411,405,24
411,412,20
220,302,20
220,494,30
78,145,20
78,165,23
291,52,23
291,174,25
477,116,30
477,361,24
158,468,24
158,300,21
480,382,20
480,335,22
368,335,29
368,9,22
202,33,28
202,297,29
110,178,23
110,418,26
251,119,26
251,323,28
366,185,25
366,393,27
155,418,24
155,116,28
184,7,21
184,323,21
28,382,30
28,335,20
442,335,29
442,297,22
280,328,23
280,428,27
16,446,24
16,65,21
268,366,28
268,185,29
416,280,25
416,328,28
454,52,28
454,448,28
115,118,27
115,427,25
233,126,30
233,50,26
22,9,25
22,297,24
422,22,27
422,297,29
135,314,22
135,323,29
455,134,25
455,323,27
102,175,23
102,412,30
374,174,26
374,448,26
217,33,20
217,323,26
290,300,30
290,116,29
421,63,29
421,7,23
337,448,22
337,7,26
136,119,25
136,323,26
401,195,29
401,307,20
451,136,30
451,119,22
381,335,30
381,297,20
276,46,20
276,412,20
495,180,24
495,173,23
232,230,23
232,116,26
191,353,23
191,428,28
142,372,28
142,33,23
445,451,23
445,136,20
147,418,21
147,116,28
122,454,22
122,52,24
304,251,26
304,323,24
376,378,28
376,173,23
373,215,25
373,409,22
279,158,25
279,468,20
10,116,21
10,297,24
235,422,30
235,22,25
317,215,30
317,91,30
340,373,21
340,215,20
56,5,24
56,393,20
475,354,21
475,361,25
49,405,25
49,412,23
222,307,30
222,323,29
0,10,21
0,297,23
321,373,22
321,215,20
77,215,25
77,409,28
471,195,24
471,307,21
224,50,25
224,361,27
152,445,26
152,136,23
137,63,20
137,314,30
310,94,24
310,145,28
456,291,30
456,52,29
278,165,25
278,297,20
105,382,27
105,335,20
98,376,23
98,378,29
397,347,29
397,139,25
258,378,23
258,173,28
138,310,28
138,94,26
433,258,20
433,173,28
396,7,22
396,323,28
15,217,26
15,323,20
430,7,21
430,297,26
385,427,30
385,323,21
31,33,30
