Target,Source,Weight
264,412,30
63,314,30
427,323,30
11,393,30
259,412,30
185,11,30
302,91,30
174,297,30
453,307,30
149,54,30
195,453,30
335,9,30
157,145,30
186,126,30
220,494,30
477,116,30
28,382,30
233,126,30
102,412,30
290,300,30
451,136,30
381,335,30
235,422,30
317,215,30
222,307,30
137,314,30
456,291,30
385,427,30
31,33,30
181,307,30
343,268,30
343,366,30
498,230,30
358,174,30
55,412,30
349,77,30
248,499,30
338,174,30
281,425,30
420,278,30
162,347,30
14,491,30
444,323,30
380,494,30
490,258,30
229,7,30
231,215,30
493,251,30
39,294,30
489,98,30
66,158,30
250,421,30
470,106,30
109,282,30
339,278,30
123,297,30
95,259,30
8,364,30
356,371,30
402,95,30
406,428,30
18,175,30
177,448,30
127,70,30
176,383,30
295,126,30
473,468,30
223,310,30
48,40,30
438,27,30
167,300,30
84,264,30
459,218,30
285,66,30
57,128,30
3,205,30
284,382,30
271,174,30
17,290,30
327,297,30
68,10,30
447,459,30
414,373,30
100,417,30
190,446,30
496,491,30
404,293,30
360,251,30
216,178,30
141,297,30
283,128,30
277,412,29
494,409,29
50,361,29
204,145,29
378,173,29
309,323,29
315,361,29
178,418,29
368,335,29
202,297,29
442,335,29
135,323,29
401,195,29
456,52,29
397,347,29
369,314,29
289,49,29
426,297,29
359,425,29
41,304,29
246,335,29
188,116,29
467,116,29
131,175,29
129,314,29
487,354,29
211,120,29
357,396,29
163,323,29
408,128,29
247,366,29
342,326,29
330,427,29
441,110,29
436,472,29
244,412,29
272,16,29
61,373,29
198,33,29
218,212,29
160,468,29
194,489,29
274,116,29
104,16,29
80,323,29
387,314,29
351,295,29
432,22,29
169,386,29
4,378,29
59,325,29
463,267,29
124,277,29
69,16,29
154,168,29
474,449,29
206,323,29
320,495,29
465,494,29
209,335,29
390,393,29
51,215,29
334,311,29
348,41,29
214,154,29
287,116,29
242,264,29
161,361,29
367,297,28
180,173,28
179,145,28
252,314,28
65,116,28
155,116,28
416,328,28
454,52,28
191,428,28
142,372,28
147,116,28
376,378,28
138,310,28
433,173,28
201,120,28
289,405,28
332,323,28
237,323,28
197,33,28
171,297,28
234,297,28
262,446,28
275,412,28
398,207,28
492,257,28
35,412,28
363,398,28
60,341,28
482,354,28
121,112,28
64,259,28
221,417,28
415,256,28
193,215,28
75,491,28
336,232,28
166,424,28
38,116,28
150,215,28
79,217,28
203,361,28
133,135,28
296,393,28
223,94,28
59,105,28
370,426,28
431,177,28
29,337,28
305,165,28
266,146,28
379,400,28
410,54,28
92,98,28
319,241,28
83,211,28
187,468,28
269,215,28
46,412,27
344,499,27
280,428,27
115,118,27
455,323,27
224,361,27
200,139,27
164,52,27
350,425,27
201,58,27
450,297,27
97,230,27
273,201,27
162,86,27
462,297,27
486,445,27
172,27,27
32,420,27
225,237,27
73,378,27
130,382,27
436,119,27
236,393,27
228,475,27
111,197,27
151,455,27
383,298,27
497,366,27
452,241,27
403,229,27
160,159,27
89,412,27
53,456,27
80,226,27
413,393,27
469,300,27
318,453,27
62,222,27
270,145,27
239,7,27
322,110,27
286,153,27
292,117,27
68,0,27
254,182,27
255,16,27
24,173,27
352,448,27
6,40,27
333,215,27
72,195,27
107,393,27
479,267,27
134,361,26
5,11,26
488,297,26
435,179,26
103,409,26
374,174,26
152,445,26
15,217,26
430,297,26
43,115,26
88,317,26
394,412,26
219,310,26
101,116,26
260,309,26
466,268,26
389,251,26
245,94,26
457,359,26
299,361,26
44,131,26
89,411,26
308,110,26
19,211,26
346,412,26
87,308,26
45,485,26
265,191,26
458,110,26
437,323,26
439,323,26
114,85,26
388,65,26
196,120,26
476,297,26
125,173,26
12,50,26
353,328,25
279,158,25
188,13,25
47,22,25
249,382,25
37,297,25
253,427,25
331,368,25
391,314,25
395,268,25
199,338,25
263,126,25
19,210,25
148,278,25
478,335,25
2,297,25
25,297,25
316,15,25
90,297,25
429,99,25
196,238,25
484,163,25
407,320,25
288,394,25
329,63,25
313,128,25
269,144,25
303,42,25
122,52,24
56,5,24
471,195,24
192,335,24
208,58,24
375,368,24
481,314,24
143,384,24
74,314,24
443,33,24
345,110,24
261,95,24
36,56,24
189,361,24
392,282,24
20,79,24
34,131,24
312,211,24
464,14,24
170,131,24
78,165,23
30,22,23
306,467,23
71,344,23
355,293,23
362,355,23
81,351,23
434,332,23
132,49,23
480,335,22
321,373,22
227,485,22
460,128,22
377,358,22
423,50,22
82,228,22
108,155,22
93,314,22
461,328,22
419,430,22
414,340,22
240,328,22
140,451,22
96,248,22
483,7,22
67,297,22
243,259,22
184,7,21
440,138,21
23,128,21
26,277,21
213,412,21
76,361,21
1,297,21
365,424,21
183,164,21
113,458,21
301,59,21
276,46,20
156,298,20
324,224,20
399,359,20
21,451,20
