Target,Source,Weight
323,7,20
323,372,20
323,134,20
323,15,20
323,143,20
323,360,20
323,297,21
297,381,20
297,278,20
297,491,20
297,256,20
297,121,20
297,109,20
109,117,21
117,392,20
323,494,21
494,302,21
302,220,20
323,184,21
323,385,21
323,31,21
323,465,21
7,430,21
297,282,21
282,394,20
282,42,20
42,264,20
264,55,20
297,173,21
173,116,20
116,17,20
297,354,21
354,82,20
297,335,21
335,382,20
382,480,20
335,28,20
335,105,20
105,218,20
335,386,20
335,169,20
382,350,20
297,30,21
297,112,21
297,1,21
1,361,21
361,13,20
361,35,20
361,351,20
361,324,20
324,224,20
173,407,21
116,418,21
418,147,21
147,274,20
116,10,21
10,0,21
354,475,21
475,76,20
475,487,21
487,482,21
335,375,21
335,25,21
382,359,21
359,249,20
359,399,20
399,425,20
382,212,21
105,301,21
301,59,21
218,325,21
361,8,21
323,314,22
314,227,20
314,309,21
309,437,22
323,393,22
393,428,20
393,56,20
393,485,21
323,409,22
409,326,21
326,51,20
409,492,21
323,260,22
323,226,22
323,79,22
323,240,22
240,328,22
328,461,22
461,406,21
7,396,22
7,250,22
7,483,22
483,63,21
63,137,20
297,499,22
499,96,20
499,71,21
297,442,22
297,420,22
420,462,20
297,32,22
297,419,22
297,67,22
67,488,20
488,293,20
488,243,21
243,259,22
259,275,21
275,244,22
381,192,22
278,90,22
494,118,22
282,412,22
412,405,20
412,411,20
412,276,20
276,46,20
412,26,20
412,288,20
26,277,21
412,213,21
213,49,20
405,84,21
116,300,22
300,153,20
300,305,20
300,158,21
116,367,22
116,178,22
116,108,22
108,155,22
82,228,22
361,295,22
295,189,21
314,11,22
11,369,20
369,481,20
11,390,22
314,135,22
314,225,22
314,93,22
93,400,20
393,45,22
393,36,22
409,373,22
373,340,21
340,215,20
215,321,20
321,61,21
321,150,21
215,88,21
215,342,21
499,2,22
96,248,22
248,452,22
293,64,22
64,404,20
300,165,22
165,204,20
165,339,20
165,58,21
58,120,20
165,410,21
153,468,22
468,279,20
468,469,20
468,286,20
469,473,21
340,414,22
215,91,22
215,144,22
165,54,22
165,210,22
210,211,20
339,148,22
120,238,22
468,159,22
468,101,22
101,287,21
323,9,23
9,368,22
9,246,22
323,472,23
323,27,23
323,384,23
384,33,21
33,217,20
33,119,22
119,484,20
119,451,22
451,21,20
21,136,20
136,445,20
445,168,21
168,214,20
451,154,21
136,439,21
119,140,22
136,206,22
323,40,23
40,163,20
323,48,23
7,421,23
7,450,23
15,172,23
15,438,23
297,448,23
448,29,21
448,337,22
297,145,23
145,435,20
145,78,20
145,294,20
294,157,21
145,94,22
94,440,20
440,138,21
294,270,22
297,241,23
297,449,23
449,34,23
297,402,23
297,261,23
297,125,23
173,495,23
173,376,23
376,98,23
116,50,23
50,126,20
50,299,20
50,99,20
99,128,21
128,23,21
23,460,21
50,262,21
50,423,22
423,65,21
65,16,21
65,306,22
65,104,22
306,467,23
30,22,23
351,81,23
81,203,21
393,252,23
252,74,21
252,413,23
428,353,23
353,191,23
409,307,23
307,195,20
307,401,20
401,72,20
307,471,21
328,280,23
71,344,23
344,75,22
293,355,23
355,362,23
118,427,23
427,3,22
412,175,23
175,363,21
175,398,22
49,132,23
132,267,21
267,346,20
49,479,23
178,110,23
110,87,23
87,345,20
345,113,20
113,458,21
178,308,23
308,322,22
248,146,23
165,312,23
120,37,23
468,230,23
230,232,23
91,70,23
33,142,23
136,152,23
136,486,23
50,429,23
50,190,23
126,408,23
126,57,23
307,257,23
427,43,23
175,102,23
323,304,24
304,85,21
304,493,22
304,114,22
304,332,23
332,41,20
304,389,23
332,434,23
434,444,20
323,20,24
372,139,24
139,347,22
347,341,20
347,86,21
297,149,24
297,266,24
282,292,24
282,303,24
361,477,24
361,364,24
212,459,24
314,403,24
314,133,24
393,5,24
63,391,24
158,167,24
367,327,24
58,208,24
120,273,24
468,285,24
279,187,24
368,478,24
27,316,24
33,443,24
443,202,22
145,245,24
94,310,24
241,123,24
34,131,24
131,234,20
131,207,20
131,474,20
474,170,21
131,311,21
261,95,24
495,180,24
180,298,20
298,378,20
180,156,20
378,221,21
180,73,23
378,258,23
258,433,20
258,24,20
433,490,22
126,12,24
65,446,24
65,69,24
16,182,24
182,272,24
272,255,22
347,197,24
347,60,24
180,176,24
323,171,25
7,329,25
134,455,25
455,371,23
455,356,24
297,370,25
282,242,25
354,161,25
335,331,25
335,476,25
382,457,25
13,188,25
407,320,25
249,130,25
212,447,25
314,237,25
393,497,25
497,296,23
296,107,23
63,239,25
400,387,25
387,379,25
373,333,25
215,77,25
215,349,25
144,269,25
210,19,25
238,196,25
9,47,25
47,432,20
48,6,25
448,52,25
52,291,23
291,424,20
291,199,20
424,365,21
365,338,20
291,166,23
52,122,24
122,454,22
454,177,21
291,271,24
454,431,24
94,219,25
126,315,25
315,186,25
186,263,20
126,313,25
16,388,25
22,235,25
280,416,25
427,115,25
115,253,24
175,44,25
230,336,25
139,397,25
397,200,24
73,417,25
417,4,21
52,174,25
174,164,20
164,377,21
164,183,21
183,358,20
174,374,26
174,352,26
323,103,26
323,357,26
323,151,26
297,18,26
256,141,26
116,216,26
428,265,26
411,89,26
88,317,26
